Title	PostDate	ReleaseDate	Genre	Size	URL	OGLink	Video	Poster	SS1	SS2
Cultivation Story Reincarnation Build 20221117	November 18, 2022	1 Aug 2022	Action, Adventure, Indie, Rpg, Early Access	 780 Mb	https://www.skidrowreloaded.com/cultivation-story-reincarnation-build-20221117/	https://store.steampowered.com/app/1866880/cultivation_story_reincarnation/	https://www.youtube.com/watch?v=wPSgz_vNZf4	https://www.skidrowreloaded.com/wp-content/uploads/2022/09/Cultivation-Story-Reincarnation-pc-free-download.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/1866880/ss_44df644378a1e2ae582f5656dad3587480ccb7f6.600x338.jpg?t=1661580987	https://cdn.cloudflare.steamstatic.com/steam/apps/1866880/ss_a6749a95c049981215095d073434f9a18e4a4afb.600x338.jpg?t=1661580987
Cultist Simulator v2022.10.l.5-GOG	November 18, 2022	27 May 2020	Indie, Rpg, Simulation	 350 Mb	https://www.skidrowreloaded.com/cultist-simulator-v2022-10-l-5-gog/	https://store.steampowered.com/app/1259930/cultist_simulator_the_exile/	https://www.youtube.com/watch?v=watch?v=7V7yoOy9qFs	https://www.skidrowreloaded.com/wp-content/uploads/2020/05/Cultist-Simulator-pc-free-download.jpg	https://steamcdn-a.akamaihd.net/steam/apps/1259930/ss_5744707455165bee50653e4dfad5c588a91bbeb1.600x338.jpg?t=1590597683	https://steamcdn-a.akamaihd.net/steam/apps/1259930/ss_a455c001c1dc2ee5d1a9461ac258a5a1975856fa.600x338.jpg?t=1590597683
Cesspool Build 9959021	November 18, 2022	28 Oct 2022	Rpg	 58 Mb	https://www.skidrowreloaded.com/cesspool-build-9959021/	https://store.steampowered.com/app/1394030/cesspool/	https://www.youtube.com/watch?v=JINUpWDRTSU	https://www.skidrowreloaded.com/wp-content/uploads/2022/11/CESSPOOL-pc-free-download.jpg	https://cdn.akamai.steamstatic.com/steam/apps/1394030/ss_b7345c1054b72c6219f94eefd214fb62a59e50d5.600x338.jpg?t=1666967970	https://cdn.akamai.steamstatic.com/steam/apps/1394030/ss_217fe12756f45cbbf8190ef32079cf642fc73ca2.600x338.jpg?t=1666967970
Backpack Hero v0.28.4e	November 18, 2022	15 Aug 2022	Adventure, Indie, Rpg, Strategy	 332 Mb	https://www.skidrowreloaded.com/backpack-hero-v0-28-4e/	https://store.steampowered.com/app/1970580/backpack_hero/	https://www.youtube.com/watch?v=e8MfnKD6F8M	https://www.skidrowreloaded.com/wp-content/uploads/2022/06/Backpack-Hero-pc-free-download.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/1970580/ss_6442b8fa26aa51369f7e18c260e2af5477dc3311.600x338.jpg?t=1653499136	https://cdn.cloudflare.steamstatic.com/steam/apps/1970580/ss_286c33ad7912f85b7b0514ef08d93b1e45b648ea.600x338.jpg?t=1653499136
ALAN 13 Reformation v2.1.023	November 18, 2022	11 May 2022	Indie, Strategy	 161 Mb	https://www.skidrowreloaded.com/alan-13-reformation-v2-1-023/	https://store.steampowered.com/app/1888130/alan13_reformation/	https://www.youtube.com/watch?v=f8mpVREUdUA	https://www.skidrowreloaded.com/wp-content/uploads/2022/06/ALAN-13-Reformation-pc-free-download.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/1888130/ss_61c861237083745ea25096d25c798e73f9b57f33.600x338.jpg?t=1653402802	https://cdn.cloudflare.steamstatic.com/steam/apps/1888130/ss_50c0ac73fd8079c8cba2410d47f95435aaa58023.600x338.jpg?t=1653402802
A Castle Full of Cats Build 9962570	November 18, 2022	9 Nov 2022	Adventure, Casual	 250 Mb	https://www.skidrowreloaded.com/a-castle-full-of-cats-build-9962570/	https://store.steampowered.com/app/2070550/a_castle_full_of_cats/	https://www.youtube.com/watch?v=5YCLyRIVFsE	https://www.skidrowreloaded.com/wp-content/uploads/2022/11/A-Castle-Full-of-Cats-pc-free-download.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/2070550/ss_ce27fbe2438b9e20a32e61017a9509003a3fff19.600x338.jpg?t=1668017752	https://cdn.cloudflare.steamstatic.com/steam/apps/2070550/ss_e8c3975f25044399903ba90a21a94a04a914c457.600x338.jpg?t=1668017752
Out of Ore-GoldBerg	November 18, 2022	31 Oct 2022	Adventure, Simulation, Strategy	 7.71 Gb	https://www.skidrowreloaded.com/out-of-ore-goldberg/	https://store.steampowered.com/app/2009350/out_of_ore/	https://www.youtube.com/watch?v=3RlAj4LKMgs	https://www.skidrowreloaded.com/wp-content/uploads/2022/11/Out-of-Ore-pc-free-download.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/2009350/ss_62d4f1c373bbf19860c0b78fd1653dada6ff344c.600x338.jpg?t=1668441411	https://cdn.cloudflare.steamstatic.com/steam/apps/2009350/ss_5d009c223bd8356b52def80b8351e42135e85584.600x338.jpg?t=1668441411
Learning Factory Milk Icebergs on Mars Early Access	November 18, 2022	17 Nov 2022	Indie, Simulation, Strategy, Early Access	 430 Mb	https://www.skidrowreloaded.com/learning-factory-milk-icebergs-on-mars-early-access/	https://store.steampowered.com/app/1150090/learning_factory/	https://www.youtube.com/watch?v=gGFNNu4bj-o	https://www.skidrowreloaded.com/wp-content/uploads/2022/04/Learning-Factory-pc-free-download.jpg	https://cdn.akamai.steamstatic.com/steam/apps/1150090/ss_90b6a6ceb1e7b75554e0aa808c434a2dc489b9cc.600x338.jpg?t=1613771131	https://cdn.akamai.steamstatic.com/steam/apps/1150090/ss_315ac6e1b1795e84bfcd4fb26eb6f4c337db85a6.600x338.jpg?t=1613771131
Pentiment-Repack	November 18, 2022	15 Nov 2022	Adventure, Casual	 4.20 Gb	https://www.skidrowreloaded.com/pentiment-repack/	https://store.steampowered.com/app/1205520/pentiment/	https://www.youtube.com/watch?v=FWjB7tTYqyI	https://www.skidrowreloaded.com/wp-content/uploads/2022/11/Pentiment-pc-free-download.jpg	https://cdn.akamai.steamstatic.com/steam/apps/1205520/ss_115917c4fe73896ec794b7e8e1795db02f33a11b.600x338.jpg?t=1668475143	https://cdn.akamai.steamstatic.com/steam/apps/1205520/ss_88593d62ce96069e28d113c331e710be024ed221.600x338.jpg?t=1668475143
NASCAR 21 Ignition v2.3.0.0-GoldBerg	November 18, 2022	10 Oct 2022	Racing	 23.6 Gb	https://www.skidrowreloaded.com/nascar-21-ignition-v2-3-0-0-goldberg/	https://store.steampowered.com/app/1439300/nascar_21_ignition/	https://www.youtube.com/watch?v=MaA6LRPRJ4s	https://www.skidrowreloaded.com/wp-content/uploads/2022/10/NASCAR-21-Ignition-pc-free-download.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/1439300/ss_15a2c58de47a7cf774e1388bc6b43828b8dc25db.600x338.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/1439300/ss_b79904abaa24cdeb374b8ca5ebfa4f16bf460786.600x338.jpg
