Title	PostDate	ReleaseDate	Genre	Size	URL	OGLink	Video	Poster	SS1	SS2
Terraformers-TiNYiSO	9-Mar-23	9-Mar-23	Indie, Simulation, Strategy	1 GB	https://www.skidrowreloaded.com/terraformers-tinyiso/	https://store.steampowered.com/app/1244800/Terraformers/	https://www.youtube.com/watch?v=FWOs_s0Zwj0	https://www.skidrowreloaded.com/wp-content/uploads/2022/04/Terraformers-pc-free-download.jpg	https://cdn.akamai.steamstatic.com/steam/apps/1244800/ss_fbf0994fba95dd58eb14524ca4c64b748b6e1515.600x338.jpg?t=1678379524	https://cdn.akamai.steamstatic.com/steam/apps/1244800/ss_58e9760b9db2505a09a484292287289c4b930959.600x338.jpg?t=1678379524
Figment 2 Creed Valley-DARKSiDERS	9-Mar-23	9-Mar-23	Action	1.1 GB	https://www.skidrowreloaded.com/figment-2-creed-valley-darksiders/	https://store.steampowered.com/app/1085220/Figment_2_Creed_Valley/	https://www.youtube.com/watch?v=XJuaCW50vSk	https://www.skidrowreloaded.com/wp-content/uploads/2023/03/Figment-2-Creed-Valley-pc-free-download.jpg	https://cdn.akamai.steamstatic.com/steam/apps/1085220/ss_1606897e65f296d429244bf71f2baa3fef794717.1920x1080.jpg?t=1678381969	https://cdn.akamai.steamstatic.com/steam/apps/1085220/ss_a7fe638e3279acdabda0bc58c252add08695a53e.1920x1080.jpg?t=1678381969
The Last Spell-GoldBerg	9-Mar-23	9-Mar-23	Action, Indie, RPG, Strategy	1.36 GB	https://www.skidrowreloaded.com/the-last-spell-goldberg/	https://store.steampowered.com/app/1105670/The_Last_Spell/	https://www.youtube.com/watch?v=xpen8ogA0IQ	https://www.skidrowreloaded.com/wp-content/uploads/2023/03/The-Last-Spell-pc-free-download.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/1105670/ss_997cf165b7ef317148e5c0835c4c0a831f3473f0.600x338.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/1105670/ss_21707800309517fb614cc65d26ff322f608da2c8.600x338.jpg
Raid on Taihoku v1.0.3.5	9-Mar-23	16-Feb-23	Action	4.2 GB	https://www.skidrowreloaded.com/raid-on-taihoku-v1-0-3-5/	https://store.steampowered.com/app/1901950/Raid_on_Taihoku/	https://www.youtube.com/watch?v=kSLZA9tt9d0	https://www.skidrowreloaded.com/wp-content/uploads/2023/02/Raid-on-Taihoku-pc-free-download.jpg	https://cdn.akamai.steamstatic.com/steam/apps/1901950/ss_d7f4a8f880afd07b1053248b5956b52d52036bed.1920x1080.jpg?t=1676520014	https://cdn.akamai.steamstatic.com/steam/apps/1901950/ss_c165a9967fe9dc2449dbba530246039bf6bc0627.1920x1080.jpg?t=1676520014
Battlefleet Gothic Armada v1.0.12-Repack	9-Mar-23	29-Sep-16	Strategy	4.6 GB	https://www.skidrowreloaded.com/battlefleet-gothic-armada-v1-0-12-repack/	https://www.gog.com/game/battlefleet_gothic_armada_1	https://www.youtube.com/watch?v=CLzvjeprySk	https://www.skidrowreloaded.com/wp-content/uploads/2020/07/Battlefleet-Gothic-Armada-pc-free-download.jpg	https://steamcdn-a.akamaihd.net/steam/apps/363680/ss_a844e50a66f26c29bf964f4241827f85633e1a3c.600x338.jpg?t=1584539139	https://steamcdn-a.akamaihd.net/steam/apps/363680/ss_d77f51bbdfa1c819edd4805bca05d73e520a8fbd.600x338.jpg?t=1584539139
One Military Camp v0.9.0.34	9-Mar-23	2-Mar-23	Indie	3.8 GB	https://www.skidrowreloaded.com/one-military-camp-v0-9-0-34/	https://store.steampowered.com/app/1743830/One_Military_Camp/	https://www.youtube.com/watch?v=YTYw0X2Td3M	https://www.skidrowreloaded.com/wp-content/uploads/2023/03/One-Military-Camp-pc-free-download.jpg	https://cdn.akamai.steamstatic.com/steam/apps/1743830/ss_4ada1ae8de3af26ea590dc5914bce8627b4a5182.1920x1080.jpg?t=1677772794	https://cdn.akamai.steamstatic.com/steam/apps/1743830/ss_eeb48729e2448107a3f9a89959845c245e27e39d.1920x1080.jpg?t=1677772794
Medieval Dynasty v1.5.1.0	9-Mar-23	23-Sep-21	Action, Adventure, RPG, Simulation,	4.5 GB	https://www.skidrowreloaded.com/medieval-dynasty-v1-5-1-0/	https://store.steampowered.com/app/1129580/Medieval_Dynasty/	https://www.youtube.com/watch?v=3sfEEaCTfFo	https://www.skidrowreloaded.com/wp-content/uploads/2021/03/Medieval-Dynasty-pc-free-download.jpg	https://cdn.akamai.steamstatic.com/steam/apps/1129580/ss_5031d1852546a140041257a835e087d7f1d130f3.600x338.jpg?t=1632318050	https://cdn.akamai.steamstatic.com/steam/apps/1129580/ss_0a3090a01388768927ab8b0a57fc6afcf5b90947.600x338.jpg?t=1632318050 alt=
Fighters Legacy Build 10213523	9-Mar-23	1-Aug-19	Action, Indie, Early Access	3.4 GB	https://www.skidrowreloaded.com/fighters-legacy-build-10213523/	https://store.steampowered.com/app/1024630/Fighters_Legacy/	https://www.youtube.com/watch?v=IL80Ga6hUO8	https://www.skidrowreloaded.com/wp-content/uploads/2022/06/Fighters-Legacy-pc-free-download.jpg	https://steamcdn-a.akamaihd.net/steam/apps/1024630/ss_13d3d54b892496327d6526909d816bc4a502c352.600x338.jpg?t=1584181828	https://steamcdn-a.akamaihd.net/steam/apps/1024630/ss_15c6cc78269277901621156827b40908d2c13bf6.600x338.jpg?t=1584181828
Fears to Fathom Carson House Build 10293445	9-Mar-23	9-Jan-23	Adventure, Casual, Indie	3 GB	https://www.skidrowreloaded.com/fears-to-fathom-carson-house-build-10293445/	https://store.steampowered.com/app/2120900/Fears_to_Fathom__Carson_House/	https://www.youtube.com/watch?v=cyF3W-OKZAw	https://www.skidrowreloaded.com/wp-content/uploads/2023/01/Fears-to-Fathom-Carson-House-pc-free-download.jpg	https://cdn.akamai.steamstatic.com/steam/apps/2120900/ss_11fe17f09aadc00e030d574a80caaa6286ea88b5.600x338.jpg?t=1673300254	https://cdn.akamai.steamstatic.com/steam/apps/2120900/ss_5351e6987aea1872457d2cff7dcc4adfc847ab20.600x338.jpg?t=1673300254
Xross Dreams v1.35	9-Mar-23	25-Dec-22	Action, Indie	2.86 GB	https://www.skidrowreloaded.com/xross-dreams-v1-35/	https://store.steampowered.com/app/1866570/Xross_Dreams/	https://www.youtube.com/watch?v=sJRT5DtU190	https://www.skidrowreloaded.com/wp-content/uploads/2022/12/Xross-Dreams-pc-free-download.jpg	https://cdn.cloudflare.steamstatic.com/steam/apps/1866570/ss_63edd0131836ca839c4ef62dc98f9ae33c3d79e4.600x338.jpg?t=1672016900	https://cdn.cloudflare.steamstatic.com/steam/apps/1866570/ss_8303afc5e935ee6766365a0d739f2be93b50aef0.600x338.jpg?t=1672016900
